Periodo,TRM,Tasa,Flujos_Financieros,TRM_Var,Tasa_Var,Volatilidad_TRM,Volatilidad_Tasa,Score_Riesgo,Riesgo_Label
2006-05,2418.6493548387098,6.241935483870968,,3.576306843238619,0.24193548387096797,1.8174391603768008,0.13968151673941448,0.7688801191725447,1
2006-06,2542.2200000000003,6.333333333333333,,5.109076473366314,0.09139784946236507,0.9974179517119084,0.12216650155664846,0.43561713115175793,0
2006-07,2513.698387096774,6.5,,-1.1219175721702501,0.16666666666666696,3.2467414996192185,0.07526881720427954,1.3212772450089714,2
2006-08,2388.983548387097,6.580645161290323,,-4.96140823218324,0.08064516129032295,5.082349153828812,0.046869881113306575,2.047000625865517,2
2006-09,2398.7086666666664,6.75,,0.4070818439137147,0.16935483870967705,2.7658697679591846,0.05045845242040156,1.1214854429097945,2
2006-10,2361.796451612903,7.008064516129032,,-1.5388369403383173,0.25806451612903203,2.7178815236570255,0.08870967741933591,1.113765512688611,2
2006-11,2290.438,7.25,,-3.0213633170704246,0.24193548387096797,1.7194340442175962,0.04725375223449901,0.7019497433573881,1
2006-12,2260.705483870968,7.362903225806452,,-1.2981148640143214,0.11290322580645196,0.9332217320208875,0.079562626811531,0.39715748085181435,0
2007-01,2236.202258064516,7.524193548387097,,-1.0838751876911967,0.16129032258064502,1.0621789021752004,0.06518470781170654,0.44442697321359215,0
2007-02,2227.5696428571428,7.776785714285714,,-0.3860391060889645,0.25259216589861744,0.4769269727278454,0.07093463859021606,0.212051180668203,0
2007-03,2202.844516129032,8.048387096774194,,-1.1099597629817604,0.27160138248847954,0.41063299090755734,0.05897161301082254,0.1819446802662697,0
2007-04,2144.9006666666664,8.25,,-2.6304103189356165,0.20161290322580605,1.145500847637633,0.036190751045685886,0.46905756436875895,0
2007-05,2009.4154838709676,8.57258064516129,,-6.316618056082424,0.32258064516129004,2.677349060657303,0.060732291028076806,1.0891593115713443,2
2007-06,1923.5343333333333,8.85,,-4.2739369347444045,0.2774193548387096,1.8467021679083135,0.06112740089175624,0.7570190874308523,1
2007-07,1951.843548387097,9.016129032258064,,1.4717291271170607,0.1661290322580644,4.038225198110937,0.08052141042781157,1.6394465023727185,2
2007-08,2056.0867741935485,9.25,,5.340757249349881,0.23387096774193594,4.837774994056523,0.05608173758291718,1.9519345188974844,2
2007-09,2113.3696666666665,9.25,,2.786015317645618,0.0,1.9673769821283413,0.1203352641128334,0.8230513720851866,1
2007-10,2001.086129032258,9.25,,-5.3130098063491555,0.0,5.562128890598824,0.13502546618143335,2.26535919609396,2
2007-11,2046.357,9.291666666666666,,2.2623149654050767,0.041666666666666075,4.532365376114123,0.02405626121617111,1.8201630288105008,2
2007-12,2013.8345161290322,9.5,,-1.5892869069750626,0.20833333333333393,3.7878422752317813,0.11023963796101076,1.5482088014810158,2
